,user_id,time,gender,age_group,spend_amount
1,1000-0018-1034-FAKE,16/06/2015 12:44,MALE,30-34,399
2,1000-0004-1582-FAKE,08/06/2015 05:11,FEMALE,35-39,999
3,1000-0005-8033-FAKE,08/06/2015 03:32,FEMALE,40-49,299
4,1000-0008-6689-FAKE,08/06/2015 04:20,FEMALE,35-39,399
5,1000-0009-4274-FAKE,08/06/2015 17:49,FEMALE,35-39,99
6,1000-0009-7488-FAKE,08/06/2015 08:06,FEMALE,30-34,1499
7,1000-0009-8265-FAKE,08/06/2015 08:25,FEMALE,40-49,99
8,1000-0010-0709-FAKE,08/06/2015 05:50,FEMALE,40-49,399
9,1000-0010-4359-FAKE,08/06/2015 05:54,FEMALE,25-29,299
10,1000-0010-7904-FAKE,08/06/2015 03:18,FEMALE,18-24,549
11,1000-0011-7598-FAKE,08/06/2015 12:29,FEMALE,25-29,999
12,1000-0011-7937-FAKE,08/06/2015 00:46,FEMALE,50-64,99
13,1000-0011-8958-FAKE,08/06/2015 16:55,FEMALE,35-39,99
14,1000-0012-1131-FAKE,08/06/2015 12:08,FEMALE,30-34,299
15,1000-0013-5999-FAKE,08/06/2015 16:43,FEMALE,50-64,2999
16,1000-0013-9998-FAKE,08/06/2015 07:39,FEMALE,50-64,99
17,1000-0014-2544-FAKE,08/06/2015 15:52,MALE,25-29,99
18,1000-0015-7158-FAKE,08/06/2015 14:53,FEMALE,18-24,99
19,1000-0015-7982-FAKE,08/06/2015 03:13,MALE,40-49,99
20,1000-0016-3869-FAKE,08/06/2015 19:15,FEMALE,25-29,549
21,1000-0016-4715-FAKE,08/06/2015 03:18,FEMALE,18-24,99
22,1000-0017-6459-FAKE,08/06/2015 04:09,FEMALE,40-49,299
23,1000-0017-8790-FAKE,08/06/2015 03:18,FEMALE,18-24,99
24,1000-0017-8845-FAKE,08/06/2015 20:50,FEMALE,35-39,99
25,1000-0018-0684-FAKE,08/06/2015 23:21,FEMALE,50-64,99
26,1000-0018-1852-FAKE,08/06/2015 18:44,FEMALE,25-29,99
27,1000-0018-3079-FAKE,08/06/2015 08:32,FEMALE,40-49,99
28,1000-0019-0656-FAKE,08/06/2015 10:44,FEMALE,13-17,999
29,1000-0020-9797-FAKE,08/06/2015 07:36,FEMALE,18-24,999
30,1000-0002-6057-FAKE,09/06/2015 18:37,FEMALE,40-49,99
31,1000-0002-6071-FAKE,09/06/2015 06:39,FEMALE,30-34,99
32,1000-0005-6370-FAKE,09/06/2015 00:34,FEMALE,13-17,99
33,1000-0006-0069-FAKE,09/06/2015 10:01,FEMALE,40-49,549
34,1000-0007-5324-FAKE,09/06/2015 16:02,MALE,40-49,99
35,1000-0008-2205-FAKE,09/06/2015 04:34,FEMALE,35-39,399
36,1000-0008-7767-FAKE,09/06/2015 07:45,FEMALE,30-34,299
37,1000-0008-8492-FAKE,09/06/2015 04:17,FEMALE,35-39,1999
38,1000-0009-6051-FAKE,09/06/2015 10:53,FEMALE,13-17,99
39,1000-0009-7220-FAKE,09/06/2015 12:52,FEMALE,40-49,99
40,1000-0009-8265-FAKE,09/06/2015 07:39,FEMALE,40-49,1499
41,1000-0010-7904-FAKE,09/06/2015 07:03,FEMALE,18-24,399
42,1000-0011-2022-FAKE,09/06/2015 08:56,FEMALE,35-39,99
43,1000-0011-3798-FAKE,09/06/2015 08:35,FEMALE,40-49,99
